Nama Lokasi,Latitude,Longitude,Alamat,Deskripsi,Kategori,Kategori_ID,Confidence_Score,Manual_Review
Wisata Air Bebek Goes Desa Kertasana,-5.4585614,104.9906144,"GXRR+H6H, Kerta Sana, Kec. Kedondong, Kabupaten Pesawaran, Lampung 35368 ",,alam,1,1.0,False
Bukit Lantana Harapan Jaya,-5.535909,105.1008428,"Hutan, Kec. Hutan, Kabupaten Pesawaran, Lampung 35451 ",,alam,1,1.0,False
PANTAI DERMAGA PIABUNG,-5.6099221,105.1713815,"95RC+2HJ, Jl. Piabung Dalam, Sanggi, Kec. Padang Cermin, Kabupaten Pesawaran, Lampung 35451 ",,alam,1,1.0,False
Air Terjun Batu Menangis (Punggung Naga),-5.5224519,105.0924314,"F3HR+2X, Gn. Rejo, Kec. Padang Cermin, Kabupaten Pesawaran, Lampung 35451 ",,alam,1,1.0,False
Wisata Air Beronjong,-5.4214617,105.06843,"H3H9+C97, Cipadang, Kec. Gedong Tataan, Kabupaten Pesawaran, Lampung ",,alam,1,1.0,True
Muncak Tirtayasa,-5.4881391,105.2440154,"G66V+PJR, Gunung Muncak, Sukajaya Lempasing, Padang Cermin, Sukajaya Lempasing, Kec. Padang Cermin, Kabupaten Pesawaran, Lampung 35236 ",,alam,1,1.0,True
Wisata laut dan wahana bebek goes,-5.6200482,105.183421,"Jl. Pematang Awi, Durian, Kec. Padang Cermin, Kabupaten Pesawaran, Lampung 35451 ",,alam,1,1.0,False
Pantai kelapa kunjir,-5.5070375,105.2573276,"Sukajaya Lempasing, Kec. Padang Cermin, Kabupaten Pesawaran, Lampung 35236 ",,alam,1,1.0,False
Air Terjun S'Nyuman Pesawaran Indah,-5.5278695,105.0930765,"Way Ratai, Kec. Kedondong, Kabupaten Pesawaran, Lampung 35451 ",,alam,1,1.0,False
WISATA VILLA GARDENIA LAMPUNG,-5.4858337,105.2498891,"Jl. Laksamana R.E.Martadinata, Sukajaya Lempasing, Teluk Pandan, Kabupaten Pesawaran, Lampung 33411 ",,alam,1,1.0,True
Lembah Khayangan,-5.5830323,105.1035475,"C483+QCM, Way Urang, Kec. Padang Cermin, Kabupaten Pesawaran, Lampung ",,alam,1,1.0,True
Taman Nemo,-5.6634717,105.2028368,"86P3+J48, Pulau Pahawang, Kec. Punduh Pidada, Kabupaten Pesawaran, Lampung 35453 ",,alam,1,1.0,False
KEBUN ALPUKAT YELLOW Golden Way Harong,-5.4450095,105.0263562,"H23G+XGX, Way Harong, Way Lima, Kabupaten Pesawaran, Lampung ",,alam,1,1.0,True
LAHAN PAKIS,-5.4301775,105.208727,"H695+WFH, Jl. Wan Abdurrahman, Hutan, Kec. Hutan, Kabupaten Pesawaran, Lampung 35156 ",,alam,1,1.0,True
WAYRATAIOUTDOOR,-5.6097084,105.092194,"93RR+4V8, Jl. Padang Cermin - Gedong Tataan Pasar, Bunut, Way Ratai, Kabupaten Pesawaran, Lampung 35451 ",,alam,1,1.0,True
Mangrove cuku NyiNyi,-5.5623788,105.2447229,"C6QV+2VX, Jl. Sidodadi, Sidodadi, Kabupaten Pesawaran, Lampung 35451 ",,alam,1,1.0,True
NUUBOY,-5.582417,105.1316775,"C49J+4HV, Jl. Ps., Hutan, Kec. Hutan, Kabupaten Pesawaran, Lampung 35451 ",,kuliner,4,1.0,True
AIR TERJUN KEMBAR RINDU ALAM,-5.582118,105.0592672,"C395+5P2, DUSUN SIDOMUKTI DESA CERINGIN ASRI, Wates Way Ratai, Kabupaten Pesawaran ",,alam,1,1.0,False
Air Terjun Sentul Jaya,-5.5866354,105.079423,"C37H+8QV, Wates Way Ratai, Kec. Padang Cermin, Kabupaten Pesawaran, Lampung 35451 ",,alam,1,1.0,False
Muncak Pas,-5.495234,105.2266515,"G63G+WM2 Desa Munca, Hanura, Kec. Padang Cermin, Kabupaten Pesawaran, Lampung 35453 ",,alam,1,1.0,True
KEBUN ALPUKAT SUNTAN 2,-5.5061822,105.0289496,"Sinar Harapan, Kec. Kedondong, Kabupaten Pesawaran, Lampung 35381 ",,alam,1,1.0,True
Lengkung Langit,-5.4178495,105.1866787,"H5MP+MQV, Jl. Wan Abdurrahman, Sumber Agung, Kec. Kemiling, Kota Bandar Lampung, Lampung 35156 ",,alam,1,1.0,True
Wisata Puncak Vietnam,-5.4159927,105.1920952,"H5MR+JR5, Sumber Agung, Kec. Kemiling, Kota Bandar Lampung, Lampung 35156 ",,alam,1,1.0,True
Pemancingan Kentung,-5.4153338,105.0658252,"H3M8+X9F, Cipadang, Kec. Gedong Tataan, Kabupaten Pesawaran, Lampung 35367 ",,alam,1,1.0,True
Rumah Pohon 3 tingkat,-5.4205792,105.1888719,"H5HQ+QG9, Hutan, Kec. Hutan, Kabupaten Pesawaran, Lampung 35156 ",,alam,1,1.0,True
Kolam Renang Telaga langit biru,-5.6024949,105.1045677,"94X3+2R4, Dekat, Bunut, Kec. Padang Cermin, Kabupaten Pesawaran, Lampung 35451 ",,alam,1,1.0,False
Air Terjun Bogorejo,-5.4080978,105.1043323,"H4R3+QP8, Hutan, Kec. Hutan, Kabupaten Pesawaran, Lampung 35366 ",,alam,1,1.0,False
Air Terjun Tanjung Agung Way Lima,-5.4695312,105.0652673,"G3J8+54, Hutan, Kec. Hutan, Kabupaten Pesawaran, Lampung ",,alam,1,1.0,False
Talang Kampung Baru,-5.497738,105.159939,"G525+WX, Hutan, Kec. Hutan, Kabupaten Pesawaran, Lampung ",,budaya,2,1.0,False
